scale,arm,index_type,sweep_param,sweep_value,refine_k,recall_at_10,recall_at_100,p50_ms,p99_ms,qps,qps_threads,build_seconds,ingest_seconds,nominal_payload_bytes,n_rows,loaded_bytes,index_files_bytes,chunk_cache_bytes,segment_heap_bytes,payload_compression,footprint_compression_vs_flat
1m,ivf_pq_m128,IVF_PQ,nprobe,256,,0.60175,0.663306,15.845895992242731,53.33517299353831,106.41046290458716,8,756.2803788750025,283.00813933400786,128,1000000,329588908,272838656,0,56750252,32.0,12.599787617852723
1m,rabitq,IVF_RABITQ,nprobe,1,,0.47787,0.41255,10.9151880024001,24.334540422714777,120.5958059890116,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,2,,0.58162,0.536,9.087395999813452,16.36968259219429,162.9162884563179,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,4,,0.62471,0.608961,10.971708499710076,31.803765004297006,123.5622871466651,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,8,,0.66479,0.651925,10.280937996867578,14.009296989679543,151.32949104901004,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,16,,0.69017,0.687701,10.917895997408777,14.126586978673004,149.48820423860226,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,32,,0.70681,0.721091,12.172146001830697,17.780960830423282,160.4486620546439,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,64,,0.72476,0.748603,20.20366699434817,31.932319495681433,92.87897804146095,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,128,,0.73524,0.763263,34.34970799571602,40.52919073612429,50.13451675790428,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq,IVF_RABITQ,nprobe,256,,0.74109,0.770663,66.18785449973075,77.50135816022515,25.087256076614025,8,173.63760799999,249.72257654200075,128,1000000,304750762,248000512,0,56750250,32.0,13.626709953886841
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,1,1.0,0.51284,0.416156,12.022604001685977,23.77862708424796,103.16033402449791,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,2,1.0,0.65235,0.529166,10.817000002134591,14.680308249517099,122.03390182630287,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,4,1.0,0.74057,0.644354,10.677708494768012,14.04997541263583,136.00742133257447,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,8,1.0,0.79664,0.738426,15.51981199736474,52.50889908551461,123.83081109012772,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,16,1.0,0.83295,0.780969,12.735625001369044,22.206228342693013,125.7921343604496,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,32,1.0,0.87734,0.846468,12.855499997385778,17.085894081101287,148.69871754129008,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,64,1.0,0.91422,0.90977,20.53066650114488,27.23320208140648,87.48113597137103,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,128,1.0,0.94086,0.950069,35.53768700658111,49.794605334609464,48.090178750898396,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k1,IVF_RABITQ,nprobe,256,1.0,0.95457,0.972329,69.44272949476726,119.03542706742883,27.811182355557765,8,190.85904012499668,231.41974766699423,1152,1000000,1334358168,1277607936,0,56750232,3.5555555555555554,3.112170586270957
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,1,2.0,0.52236,0.417596,13.756229003774934,24.513368819461903,83.14440283444755,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,2,2.0,0.66334,0.538168,11.622687001363374,18.739818648900837,121.5721257484866,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,4,2.0,0.75744,0.638981,12.277416499273386,38.123914573807255,134.1923680137451,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,8,2.0,0.81237,0.745492,15.010145500127692,30.45208425639427,95.5641616731201,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,16,2.0,0.85796,0.799009,13.813146004395094,31.429213747760503,107.84126412773513,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,32,2.0,0.89774,0.851426,11.9157709996216,16.55562591578927,150.62012327955532,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,64,2.0,0.93764,0.915004,19.692374997248407,26.764461576676695,89.16147466884641,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,128,2.0,0.96396,0.954674,34.049124995362945,42.580045825161484,49.132202826244686,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k2,IVF_RABITQ,nprobe,256,2.0,0.97861,0.977001,63.557811998180114,73.48566258791834,26.21642565605071,8,211.7932622090011,230.34719162499823,1152,1000000,1333887134,1277136896,0,56750238,3.5555555555555554,3.113269583421891
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,1,5.0,0.5136,0.414274,11.497395993501414,17.59943583005224,117.33784025605922,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,2,5.0,0.66306,0.569707,12.836437490477692,27.898458256386217,116.32420626473234,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,4,5.0,0.73466,0.652818,11.90108350419905,25.582055590057276,122.48713840002048,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,8,5.0,0.81365,0.719208,12.328437507676426,19.28558958854409,129.60180119004133,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,16,5.0,0.86638,0.781404,12.456562501029111,26.590263168036472,171.3156493350852,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,32,5.0,0.89583,0.846067,12.361937493551522,18.708313489041753,169.17239949818466,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,64,5.0,0.93785,0.911466,19.71729199431138,25.33687150891637,99.57148911801661,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,128,5.0,0.96625,0.953245,34.342333499807864,39.99111833662026,54.63908408091988,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k5,IVF_RABITQ,nprobe,256,5.0,0.98117,0.976495,62.74322950048372,76.45112241269086,29.4770780539025,8,191.77251666600932,209.77218520799943,1152,1000000,1323798678,1267048448,0,56750230,3.5555555555555554,3.1369953082850865
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,1,10.0,0.52062,0.414714,11.148167017381638,20.640758814988654,131.74278041912095,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,2,10.0,0.6586,0.54059,12.039353998261504,19.64713201276026,130.37823848488486,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,4,10.0,0.7589,0.651649,10.211791493929923,13.396491753228473,151.7101277623236,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,8,10.0,0.81286,0.720836,13.516062987037003,31.61503743001958,107.99807947221277,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,16,10.0,0.87191,0.788837,10.895854007685557,17.54696125542977,136.84695688107212,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,32,10.0,0.90082,0.853788,11.243458502576686,14.993897504173214,161.53292863864007,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,64,10.0,0.94129,0.917139,18.35783349815756,22.52405583771177,93.79437866373702,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,128,10.0,0.96768,0.956761,32.571062503848225,40.768346254481,53.94986756435016,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
1m,rabitq_refine_sq8_k10,IVF_RABITQ,nprobe,256,10.0,0.98132,0.978006,59.297562489518896,79.05220882996215,28.07565925517185,8,178.84247199998936,226.9068620409962,1152,1000000,1343996052,1287245824,0,56750228,3.5555555555555554,3.0898530065027305
