workload,size,corpus_tokens,live_arm,index_arm,regime,hit_rate,cached,footprint,infra_mode,c_live,c_index_query,saving_per_query,footprint_gib,infra_month,embed_once,churn_day,fixed_daily,break_even_qpd,feasible,live_window_exceeded,c_live_over_window,break_even_qpd_over_window,measured,hit_rate_basis
memory,M,392116,replay,memsearch,claude,0.0,False,sq8,dedicated,0.7846413333333334,0.012446666666666668,0.7721946666666667,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,3.6618888592173198,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,claude,0.9167,True,pca_uc_384_sq8,marginal,0.20300260000000006,0.012446666666666668,0.1905559333333334,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.0008545980241449985,True,False,,,True,measured
memory,M,392116,replay,memsearch,claude,0.5,True,pca_uc_384_sq8,marginal,0.8238529333333333,0.012446666666666668,0.8114062666666666,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.00020069936701964442,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.9,True,pca_uc_384_sq8,marginal,0.22783661333333335,0.012446666666666668,0.2153899466666667,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.0007560646475659067,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.95,True,pca_uc_384_sq8,marginal,0.15333457333333342,0.012446666666666668,0.14088790666666676,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.001155874396665316,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.99,True,pca_uc_384_sq8,marginal,0.09373294133333335,0.012446666666666668,0.08128627466666669,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.0020033975573806517,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.0,False,pca_uc_384_sq8,marginal,0.7846413333333334,0.012446666666666668,0.7721946666666667,0.00061848660577959,0.00462046456082178,0.00403216,0.0,0.0001628487241157728,0.00021089076517290907,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,claude,0.9167,True,sq8,marginal,0.20300260000000006,0.012446666666666668,0.1905559333333334,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.0020078687645674444,True,False,,,True,measured
memory,M,392116,replay,memsearch,claude,0.5,True,sq8,marginal,0.8238529333333333,0.012446666666666668,0.8114062666666666,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.0004715409803461338,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.9,True,sq8,marginal,0.22783661333333335,0.012446666666666668,0.2153899466666667,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.0017763656677770494,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.95,True,sq8,marginal,0.15333457333333342,0.012446666666666668,0.14088790666666676,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.0027157143256321802,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.99,True,sq8,marginal,0.09373294133333335,0.012446666666666668,0.08128627466666669,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.004706960775505868,True,False,,,True,sweep
memory,M,392116,replay,memsearch,claude,0.0,False,sq8,marginal,0.7846413333333334,0.012446666666666668,0.7721946666666667,0.0015138665935769677,0.01130948816040665,0.00403216,0.0,0.00038261130644299645,0.0004954855594828374,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,openai,0.9167,True,pca_uc_384_sq8,dedicated,0.27522536666666675,0.012685833333333334,0.2625395333333334,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,10.770534292919304,True,False,,,True,measured
memory,M,392116,replay,memsearch,openai,0.5,True,pca_uc_384_sq8,dedicated,0.8633993666666667,0.012685833333333334,0.8507135333333334,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,3.3239050940379595,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.9,True,pca_uc_384_sq8,dedicated,0.2987523266666667,0.012685833333333334,0.28606649333333334,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,9.88473348998195,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.95,True,pca_uc_384_sq8,dedicated,0.22817144666666672,0.012685833333333334,0.21548561333333338,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,13.122412226377083,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.99,True,pca_uc_384_sq8,dedicated,0.1717067426666667,0.012685833333333334,0.15902090933333335,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,17.781882010788934,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.0,False,pca_uc_384_sq8,dedicated,1.5692081666666668,0.012685833333333334,1.5565223333333336,0.00061848660577959,86.06751,0.00403216,0.0,2.8276910470136984,1.8166723255156407,True,False,,,True,uncached_list
memory,M,392116,replay,memsearch,openai,0.9167,True,sq8,dedicated,0.27522536666666675,0.012685833333333334,0.2625395333333334,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,10.770534292919304,True,False,,,True,measured
memory,M,392116,replay,memsearch,openai,0.5,True,sq8,dedicated,0.8633993666666667,0.012685833333333334,0.8507135333333334,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,3.3239050940379595,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.9,True,sq8,dedicated,0.2987523266666667,0.012685833333333334,0.28606649333333334,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,9.88473348998195,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.95,True,sq8,dedicated,0.22817144666666672,0.012685833333333334,0.21548561333333338,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,13.122412226377083,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.99,True,sq8,dedicated,0.1717067426666667,0.012685833333333334,0.15902090933333335,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,17.781882010788934,True,False,,,True,sweep
memory,M,392116,replay,memsearch,openai,0.0,False,sq8,dedicated,1.5692081666666668,0.012685833333333334,1.5565223333333336,0.0015138665935769677,86.06751,0.00403216,0.0,2.8276910470136984,1.8166723255156407,True,False,,,True,uncached_list
